,subproduct_author_id,verified_purchase,review_title,reviews,date,reviewer_name,ratings,people_find_helpful,reviewer_profile_url,start_time,end_time,product_name,brand_name,rank,product_id,author_id
0,AHTYDLUF2D2VPPCOF2WQF2ZQOFQA,True,Where's the quality?,Been purchasing Carhartt for years. This sweater is replacing one that has taken a beating for 5 years. 3rd wash in there is a separation in the seam on the right torso. I expect better than this from Carhartt. Missed the return window by 5 days. Brutal.,"February 18, 2020",Amazon Customer,1.0,2,https://www.amazon.ca/gp/profile/amzn1.account.AHTYDLUF2D2VPPCOF2WQF2ZQOFQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:45.982090,2020-09-28 20:07:46.303199,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
1,AHE5DS2ID5E6DR65OPDXW36HVTRQ,True,Poor quality,"Purchased the Large/Tall version.
- Fit is great.
- Zipper is poor quality. It is not smooth and gets hung up sometimes.
- No loop to hang sewn in behind neck area.
- Looks and feels not much better than a Walmart sweater.

This is the first Carhartt product I have purchased which I am unhappy with. It's very nice that they are making tall versions of clothing now but I would spend more money and get a more expensive version next time.
Wash/dry twice before wearing anything dark as this thing sheds fluff like crazy.","July 18, 2020",Brock,2.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHE5DS2ID5E6DR65OPDXW36HVTRQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:46.308072,2020-09-28 20:07:46.513031,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
2,AGQIMTYRZA67P7BUGPVB3CASCTWQ,True,Good quality. Good Fit. Will buy again,"People mentioned that this item was over-sized so I bought a 2XLT instead of my usual 3XLT .
It fits tight - wish I had ordered my reg size.... NEXT time .. and there will be a next time because the quality is very good and I just like wearing it. Nice length on arms and hips, not to long at all!
Recommend this jacket!","September 1, 2019",Big Everything,5.0,One,https://www.amazon.ca/gp/profile/amzn1.account.AGQIMTYRZA67P7BUGPVB3CASCTWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:46.518888,2020-09-28 20:07:46.659431,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
3,AGJORMTC45LCZZ7HZGWY2AWFM34A,True,Tall size is main reason for using this company .,"This about the 3rd or 4rth product I got from this company . The quality Is always very good and the material is always substantial (heavy) . The main reason I use this company is how it accomidates people with long torsos . For me 2xl is always short and big all over , but xl Tall is perfect .","October 25, 2018",Dan,4.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AGJORMTC45LCZZ7HZGWY2AWFM34A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:46.663335,2020-09-28 20:07:46.803880,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
4,AHFBBQMMHYEFVFJQYDJX73NQUQ4Q,True,Carhartt is quality.,"Fast shipping, was as described. Good quality as Carhartt always is. Its thick without being bulky and its light feeling but warm. I'm 5'11 200 I got the xl tall and fits fine maybe abit big next time I'll do a L tall or just xl and that would be a nicer fit for myself. Would buy again.","January 3, 2019",Amazon Customer,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHFBBQMMHYEFVFJQYDJX73NQUQ4Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:46.807783,2020-09-28 20:07:46.964919,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
5,AFS3IUKCX45MFPXLB7NDSFXBCRZQ,True,Large Fit Well made Hoodie,"As always with Carhartt, I have no complaints about the quality, but I find the fit to be too large, like WAY too large. I'm 6'4"" tall and a 3X Tall is far too big for me.","October 23, 2019",MrBabylon9000,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFS3IUKCX45MFPXLB7NDSFXBCRZQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:46.968822,2020-09-28 20:07:47.103510,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
6,AFY654MKASRROO3UFUMGHDGGKEBQ,True,Really good quality,Carhartt really good quality for cloathed last in time color stay you put it in drying machine dont reduce really like their product,"April 11, 2020",Christian Bergeron,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AFY654MKASRROO3UFUMGHDGGKEBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:47.108390,2020-09-28 20:07:47.245030,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
7,AG747KXO2OST3RLRKTEZZJQTAA7A,True,Perfect,"Perfect, a bit on the large side on the length area but it keeps it from riding up and exposing your back when reaching up to grab something, specially when working outside. Thanks.","March 9, 2019",LATINO,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AG747KXO2OST3RLRKTEZZJQTAA7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:47.248934,2020-09-28 20:07:47.400213,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
8,AG747KXO2OST3RLRKTEZZJQTAA7A,True,had to return this one since I ordered tall version and could reach the pockets but not at a comfortable height.,"Seems that the fabric is a lot thinner then the 2 other sweaters I have, same model (K122), had to return this one since I ordered tall version and could reach the pockets but not at a comfortable height.","December 5, 2017",LATINO,3.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AG747KXO2OST3RLRKTEZZJQTAA7A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:47.405093,2020-09-28 20:07:47.530021,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
9,AE3LRCOFYOIXMTUVY7MELWKBDM6A,True,"Very comfortable, high quality.",You really can't beat Carhartt for their quality at this price point. Excellent product.,"June 10, 2020",genericname,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AE3LRCOFYOIXMTUVY7MELWKBDM6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,2020-09-28 20:07:47.535878,2020-09-28 20:07:47.669589,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
10,AHMC2EAF3UUZINFVLHHNIFGYZNXQ,True,Carhartt awesome,Love the big and tall fit. Good quality and looks nice.,"June 7, 2020",Cobra Commander,5.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AHMC2EAF3UUZINFVLHHNIFGYZNXQ/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-28 20:07:52.891403,2020-09-28 20:07:53.029018,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
11,AEBDMHDCXMIJATRJACRJC3MB7LIA,True,generaiiy pleased with carhart,"I purchased this hoodie a while back,but just recently started using it,it has not been laundered,but nevertheless the zipper has started falling apart,I'm really not impressed and I was wondering if there was anything that could be done about it.
signed a generally happy and pleased Amazon customer.","February 1, 2019",rick orchard,1.0,0,https://www.amazon.ca/gp/profile/amzn1.account.AEBDMHDCXMIJATRJACRJC3MB7LIA/ref=cm_cr_getr_d_gw_btm?ie=UTF8,2020-09-28 20:07:53.033898,2020-09-28 20:07:53.157882,Carhartt Men's Midweight Hooded Zip Front Sweatshirt,Carhartt,"7,111",B002G9UDYG,AE3LRCOFYOIXMTUVY7MELWKBDM6A
